RCPT_YR,CGG_CD,CGG_NM,STDG_CD,STDG_NM,LOTNO_SE,LOTNO_SE_NM,MNO,SNO,BLDG_NM,CTRT_DAY,THING_AMT,ARCH_AREA,LAND_AREA,FLR,RGHT_SE,RTRCN_DAY,ARCH_YR,BLDG_USG,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,11215,광진구,10700,화양동,1,대지,0029,0025,DM7 화양,2025-04-02,25000,14.1,22.1,11.0,,,2025,오피스텔,직거래,
2025,11620,관악구,10200,신림동,1,대지,0466,0039,"에코플러스(A동,B동)",2025-04-02,26000,28.29,18.0,5.0,,,2017,연립다세대,중개거래,"서울 강북구, 서울 관악구"
2025,11215,광진구,10700,화양동,1,대지,0029,0025,DM7 화양,2025-04-02,25000,14.1,22.1,10.0,,,2025,오피스텔,직거래,
2025,11470,양천구,10100,신정동,1,대지,0329,0000,목동신시가지14,2025-04-02,137000,55.02,0.0,11.0,,,1987,아파트,중개거래,서울 양천구
2025,11215,광진구,10700,화양동,1,대지,0029,0025,DM7 화양,2025-04-02,25000,14.1,22.1,10.0,,,2025,오피스텔,직거래,
2025,11140,중구,14300,장충동1가,1,대지,0105,0001,장충동라임카운티,2025-04-02,271000,244.47,0.0,3.0,,,2000,아파트,중개거래,서울 용산구
2025,11215,광진구,10700,화양동,1,대지,0029,0025,DM7 화양,2025-04-02,25000,14.1,22.1,9.0,,,2025,오피스텔,직거래,
2025,11410,서대문구,10900,현저동,1,대지,0200,0000,독립문극동(200-0),2025-04-02,73500,84.87,0.0,21.0,,,1998,아파트,직거래,
2025,11215,광진구,10700,화양동,1,대지,0029,0025,DM7 화양,2025-04-02,25000,14.1,22.1,9.0,,,2025,오피스텔,직거래,
2025,11740,강동구,10700,암사동,1,대지,0509,0000,선사현대아파트,2025-04-02,93000,82.94,0.0,14.0,,,2000,아파트,직거래,
2025,11215,광진구,10700,화양동,1,대지,0029,0025,DM7 화양,2025-04-02,25000,14.1,22.1,9.0,,,2025,오피스텔,직거래,
2025,11620,관악구,10200,신림동,1,대지,0610,0375,우석빌라1차,2025-04-02,18500,36.95,23.0,2.0,,,1992,연립다세대,중개거래,서울 관악구
2025,11215,광진구,10700,화양동,1,대지,0029,0025,DM7 화양,2025-04-02,25000,14.1,22.1,7.0,,,2025,오피스텔,직거래,
2025,11470,양천구,10200,목동,1,대지,0901,0000,목동신시가지1,2025-04-02,240000,98.08,0.0,4.0,,,1985,아파트,중개거래,서울 양천구
2025,11215,광진구,10700,화양동,1,대지,0029,0025,DM7 화양,2025-04-02,25000,14.1,22.1,9.0,,,2025,오피스텔,직거래,
2025,11380,은평구,10500,구산동,1,대지,0188,0049,우림하이츠빌2차(188-49),2025-04-02,19500,44.52,25.0,3.0,,,2008,연립다세대,중개거래,서울 광진구
